date,temperature,humidity,luminosity
2023-12-21 14:39:58.943,18.8,27.6,124
2023-12-21 14:39:53.903,18.8,27.5,124
2023-12-21 14:39:48.863,18.8,27.7,131
2023-12-21 14:39:43.822,18.8,27.7,132
2023-12-21 14:39:38.781,18.8,27.8,132
2023-12-21 14:39:33.740,18.8,27.6,124
2023-12-21 14:39:28.700,18.8,27.7,124
2023-12-21 14:39:23.660,18.8,27.7,132
2023-12-21 14:39:18.620,18.7,27.6,132
2023-12-21 14:39:13.580,18.8,27.6,132
2023-12-21 14:39:08.540,18.8,27.6,132
2023-12-21 14:39:03.500,18.8,27.8,132
2023-12-21 14:38:58.460,18.8,28.0,124
2023-12-21 14:38:53.420,18.8,28.0,124
2023-12-21 14:38:48.380,18.8,28.3,124
2023-12-21 14:38:43.339,18.8,28.3,124
2023-12-21 14:38:38.299,18.8,28.1,124
2023-12-21 14:38:33.259,18.8,27.9,124
2023-12-21 14:38:28.219,18.8,28.0,124
2023-12-21 14:38:23.178,18.8,27.9,124
2023-12-21 14:38:18.138,18.8,28.0,124
2023-12-21 14:38:13.098,18.8,28.0,123
2023-12-21 14:38:08.058,18.8,28.2,131
2023-12-21 14:38:03.018,18.8,28.2,124
2023-12-21 14:37:57.978,18.7,28.3,125
2023-12-21 14:37:52.938,18.8,28.3,117
2023-12-21 14:37:47.897,18.8,28.2,136
2023-12-21 14:37:42.856,18.8,28.2,97
2023-12-21 14:37:37.816,18.8,28.3,93
2023-12-21 14:37:32.776,18.8,28.3,94
2023-12-21 14:37:27.736,18.8,28.2,117
2023-12-21 14:37:22.695,18.7,28.2,127
2023-12-21 14:37:17.655,18.8,28.1,127
2023-12-21 14:37:12.615,18.7,28.0,127
2023-12-21 14:37:07.575,18.8,27.9,152
2023-12-21 14:37:02.534,18.8,27.5,161
2023-12-21 14:36:57.495,18.8,27.4,148
2023-12-21 14:36:52.454,18.8,27.3,157
2023-12-21 14:36:47.415,18.8,26.9,167
2023-12-21 14:36:42.375,18.9,27.0,104
2023-12-21 14:36:37.334,18.8,27.1,72
2023-12-21 14:36:32.293,18.9,27.3,67
2023-12-21 14:36:27.253,18.8,27.4,65
2023-12-21 14:36:22.213,18.8,27.5,81
2023-12-21 14:36:17.172,18.8,27.5,87
2023-12-21 14:36:12.132,18.8,27.5,83
2023-12-21 14:36:07.091,18.8,27.4,81
2023-12-21 14:36:02.051,18.8,27.2,92
2023-12-21 14:35:57.010,18.8,27.3,99
2023-12-21 14:35:51.970,18.8,27.4,98
2023-12-21 14:35:46.929,18.9,27.5,114
2023-12-21 14:35:41.889,18.8,27.5,116
2023-12-21 14:35:36.848,18.8,27.8,119
2023-12-21 14:35:31.808,18.8,27.9,133
2023-12-21 14:35:26.768,18.9,27.7,102
2023-12-21 14:35:21.728,18.8,27.6,101
2023-12-21 14:35:16.688,18.9,27.9,112
2023-12-21 14:35:11.648,18.9,27.7,108
2023-12-21 14:35:06.607,18.9,27.4,108
2023-12-21 14:35:01.566,18.9,27.3,109
2023-12-21 14:34:56.526,18.9,27.1,107
2023-12-21 14:34:51.487,18.9,27.1,103
2023-12-21 14:34:46.447,18.9,27.3,98
2023-12-21 14:34:41.406,18.8,27.3,102
2023-12-21 14:34:36.366,18.9,27.4,97
2023-12-21 14:34:31.324,18.9,27.3,101
2023-12-21 14:34:26.284,18.8,27.5,94
2023-12-21 14:34:21.244,18.9,27.6,97
2023-12-21 14:34:16.203,18.9,27.5,100
2023-12-21 14:34:11.163,18.9,26.9,96
2023-12-21 14:34:06.123,18.9,26.9,100
2023-12-21 14:34:01.083,18.9,27.0,121
2023-12-21 14:33:56.042,18.9,27.1,130
2023-12-21 14:33:51.002,18.9,27.2,134
2023-12-21 14:33:45.961,18.9,27.3,146
2023-12-21 14:33:40.920,18.9,27.4,156
2023-12-21 14:33:35.880,18.9,27.6,149
2023-12-21 14:33:30.840,18.9,27.5,160
2023-12-21 14:33:25.800,18.9,27.5,137
2023-12-21 14:33:20.759,18.9,27.6,153
2023-12-21 14:33:15.719,18.9,27.6,177
2023-12-21 14:33:10.678,18.9,27.6,178
2023-12-21 14:33:05.638,18.9,27.6,172
2023-12-21 14:33:00.598,18.9,27.8,173
2023-12-21 14:32:55.557,18.9,27.9,175
2023-12-21 14:32:50.516,18.9,28.0,127
2023-12-21 14:32:45.476,18.9,28.2,101
2023-12-21 14:32:40.436,18.9,27.8,95
2023-12-21 14:32:35.396,18.9,28.0,96
2023-12-21 14:32:30.355,18.9,27.8,100
2023-12-21 14:32:25.315,18.9,27.8,101
2023-12-21 14:32:20.274,18.9,27.7,95
2023-12-21 14:32:15.233,18.8,27.9,97
2023-12-21 14:32:10.193,18.9,27.4,109
2023-12-21 14:32:05.153,18.9,27.2,197
2023-12-21 14:32:00.112,18.9,27.4,95
2023-12-21 14:31:55.072,18.9,27.6,93
2023-12-21 14:31:50.032,18.9,27.6,91
2023-12-21 14:31:44.992,18.9,27.7,92
2023-12-21 14:31:39.951,18.9,27.8,187
2023-12-21 14:31:34.910,18.9,27.5,195
2023-12-21 14:31:29.870,18.9,27.6,207
2023-12-21 14:31:24.830,18.9,27.7,209
2023-12-21 14:31:19.790,18.9,28.0,209
2023-12-21 14:31:14.750,18.9,28.3,210
2023-12-21 14:31:09.710,18.9,28.3,210
2023-12-21 14:31:04.670,18.9,28.3,210
2023-12-21 14:30:59.629,18.9,28.2,210
2023-12-21 14:30:54.589,18.9,28.0,143
2023-12-21 14:30:49.549,18.9,28.0,107
2023-12-21 14:30:44.509,18.9,28.2,107
2023-12-21 14:30:39.469,18.9,28.2,97
2023-12-21 14:30:34.429,18.9,28.3,99
2023-12-21 14:30:29.390,19.0,28.3,101
2023-12-21 14:30:24.349,18.9,28.0,99
2023-12-21 14:30:19.308,18.9,27.8,131
2023-12-21 14:30:14.267,19.0,27.6,95
2023-12-21 14:30:09.227,19.0,27.2,95
2023-12-21 14:30:04.187,19.0,27.3,95
2023-12-21 14:29:59.147,19.0,27.4,107
2023-12-21 14:29:54.107,19.0,27.3,156
2023-12-21 14:29:49.067,19.0,27.1,105
2023-12-21 14:29:44.027,19.0,27.1,98
2023-12-21 14:29:38.986,19.0,27.1,95
2023-12-21 14:29:33.946,19.0,27.3,94
2023-12-21 14:29:28.906,19.0,27.3,98
2023-12-21 14:29:23.865,19.0,27.4,194
2023-12-21 14:29:18.826,19.0,27.5,155
2023-12-21 14:29:13.786,19.0,27.6,152
2023-12-21 14:29:08.746,19.0,27.7,138
2023-12-21 14:29:03.706,19.1,27.7,150
2023-12-21 14:28:58.665,19.0,27.9,161
2023-12-21 14:28:53.625,19.0,27.9,162
2023-12-21 14:28:48.585,19.0,27.9,165
2023-12-21 14:28:43.545,19.0,28.1,162
2023-12-21 14:28:38.505,19.1,28.2,162
2023-12-21 14:28:33.464,19.1,28.2,143
2023-12-21 14:28:28.424,19.1,28.4,133
2023-12-21 14:28:23.383,19.1,28.5,129
2023-12-21 14:28:18.342,19.1,28.8,134
2023-12-21 14:28:13.301,19.1,28.7,131
2023-12-21 14:28:08.260,19.1,28.7,132
2023-12-21 14:28:03.219,19.1,28.5,125
2023-12-21 14:27:58.180,19.1,28.6,146
2023-12-21 14:27:53.139,19.1,28.6,143
2023-12-21 14:27:48.099,19.1,28.6,139
2023-12-21 14:27:43.059,19.1,28.4,128
2023-12-21 14:27:38.019,19.1,28.3,121
2023-12-21 14:27:32.978,19.1,28.4,111
2023-12-21 14:27:27.937,19.2,28.3,129
2023-12-21 14:27:22.896,19.2,28.3,114
2023-12-21 14:27:17.855,19.2,28.1,111
2023-12-21 14:27:12.815,19.2,27.9,119
2023-12-21 14:27:07.774,19.3,27.8,114
2023-12-21 14:27:02.734,19.3,27.9,131
2023-12-21 14:26:57.694,19.3,27.8,128
2023-12-21 14:26:52.654,19.3,27.7,170
2023-12-21 14:26:47.614,19.3,27.8,148
2023-12-21 14:26:42.575,19.3,28.0,150
2023-12-21 14:26:37.534,19.3,28.1,159
2023-12-21 14:26:32.493,19.4,28.2,150
2023-12-21 14:26:27.454,19.4,28.3,146
2023-12-21 14:26:22.413,19.4,27.7,135
2023-12-21 14:26:17.373,19.4,27.5,127
2023-12-21 14:26:12.332,19.5,27.3,129
2023-12-21 14:26:07.291,19.4,27.3,75
2023-12-21 14:26:02.251,19.4,27.5,172
2023-12-21 14:25:57.211,19.5,27.7,169
2023-12-21 14:25:52.171,19.5,28.0,169
2023-12-21 14:25:47.131,19.5,28.1,169
2023-12-21 14:25:42.091,19.5,28.0,166
2023-12-21 14:25:37.051,19.5,28.2,164
2023-12-21 14:25:32.012,19.5,28.2,161
2023-12-21 14:25:26.971,19.6,28.5,161
2023-12-21 14:25:21.930,19.6,28.3,160
2023-12-21 14:25:16.891,19.6,27.6,159
2023-12-21 14:25:11.850,19.6,27.8,164
2023-12-21 14:25:06.809,19.7,28.0,167
2023-12-21 14:25:01.769,19.7,28.2,166
2023-12-21 14:24:56.729,19.7,28.4,152
2023-12-21 14:24:51.688,19.7,28.2,157
2023-12-21 14:24:46.648,19.8,28.6,160
2023-12-21 14:24:41.608,19.8,29.0,91
2023-12-21 14:24:36.568,19.9,29.0,92
2023-12-21 14:24:31.528,19.9,29.3,94
2023-12-21 14:24:26.488,19.9,29.7,166
2023-12-21 14:24:21.448,20.0,30.3,166
2023-12-21 14:24:16.408,20.0,31.0,171
2023-12-21 14:24:11.367,20.1,31.8,170
2023-12-21 14:24:06.328,20.1,32.6,168
2023-12-21 14:24:01.287,20.2,33.2,157
2023-12-21 14:23:56.247,20.3,33.7,160
2023-12-21 14:23:51.207,20.4,34.1,166
2023-12-21 14:23:46.166,20.4,34.1,102
2023-12-21 14:23:41.126,20.5,35.0,95
2023-12-21 14:23:36.086,20.7,36.5,89
2023-12-21 14:23:31.045,20.9,38.2,89
2023-12-21 14:23:26.005,21.3,39.5,161
2023-12-21 14:23:20.965,20.4,25.5,160
2023-12-21 14:23:15.925,20.2,33.9,0
2023-12-21 14:23:10.885,19.5,27.5,56
2023-12-21 14:23:05.846,19.5,27.2,77
2023-12-21 14:23:00.806,19.5,27.4,156
2023-12-21 14:22:55.766,19.5,27.4,157
2023-12-21 14:22:50.726,19.5,27.6,158
2023-12-21 14:22:45.686,19.5,27.7,157
2023-12-21 14:22:40.646,19.5,27.9,156
2023-12-21 14:22:35.606,19.5,28.0,156
2023-12-21 14:22:30.566,19.5,27.9,79
2023-12-21 14:22:25.525,19.5,28.0,153
2023-12-21 14:22:20.485,19.5,28.4,153
2023-12-21 14:22:15.445,19.5,28.2,156
2023-12-21 14:22:10.405,19.5,27.6,154
2023-12-21 14:22:05.365,19.5,27.9,150
